# Data for gold-mf-teflon phi=0.05 - Drude model
#d(nm)  D=08nm  D=10nm  D=12nm  D=14nm  D=16nm  D=18nm


100000.	3.57385169165145e-15	2.9899554218183893e-15	2.0522961839465884e-15	3.833724025960384e-16	-2.1163623576891053e-15	-5.3868450829187684e-15
89125.0938133746	4.499212712603499e-15	3.7641308606588295e-15	2.5836878184984186e-15	4.826372598086894e-16	-2.6643423526595047e-15	-6.7816361642849325e-15
79432.82347242822	5.664173216963981e-15	4.738759993802162e-15	3.2526702508508883e-15	6.076043110519206e-16	-3.354208293482451e-15	-8.537574100760582e-15
70794.57843841374	7.130771599639906e-15	5.965745376591019e-15	4.094869234982965e-15	7.64928507498899e-16	-4.222698057115849e-15	-1.0748168990523318e-14
63095.73444801929	8.977109572486491e-15	7.510428454883664e-15	5.155134937894096e-15	9.629879362959508e-16	-5.3160618904372864e-15	-1.353114307242811e-14
56234.13251903491	1.1301511365264448e-14	9.455069235315333e-15	6.4899303745428725e-15	1.2123299842543747e-15	-6.692525404541733e-15	-1.703469986450222e-14
50118.72336272725	1.4227759849411867e-14	1.1903226930612093e-14	8.17033826928731e-15	1.5262330246579402e-15	-8.4253903008555e-15	-2.144541654170791e-14
44668.35921509626	1.7911688427329274e-14	1.4985274865300097e-14	1.028584647015999e-14	1.9214135390614235e-15	-1.0606937954031135e-14	-2.6998179850867273e-14
39810.7170553497	2.2549479729304606e-14	1.8865343330646427e-14	1.2949113503097888e-14	2.4189163308893856e-15	-1.3353343731653601e-14	-3.3988694686447705e-14
35481.338923357536	2.8388113053957674e-14	2.37500601211741e-14	1.6301968049255657e-14	3.0452352379606903e-15	-1.6810863756200267e-14	-4.278923145448137e-14
31622.776601683796	3.573851691651404e-14	2.989955421818328e-14	2.0522961839467078e-14	3.8337240259606105e-15	-2.116362357689119e-14	-5.386845082918776e-14
28183.82931264449	4.4992127126032465e-14	3.7641308606586555e-14	2.583687818498341e-14	4.826372598085485e-15	-2.6643423526595656e-14	-6.781636164285361e-14
25118.864315095823	5.66417321696433e-14	4.7387599938019694e-14	3.252670250851221e-14	6.0760431105191764e-15	-3.354208293482053e-14	-8.537574100760213e-14
22387.211385683422	7.130771599639759e-14	5.96574537659092e-14	4.094869234983041e-14	7.649285074988947e-15	-4.222698057115891e-14	-1.0748168990523124e-13
19952.62314968883	8.977109572486572e-14	7.510428454883949e-14	5.1551349378942546e-14	9.629879362961752e-15	-5.316061890437044e-14	-1.3531143072427792e-13
17782.79410038923	1.130151136526415e-13	9.455069235315338e-14	6.489930374542986e-14	1.2123299842543618e-14	-6.692525404541699e-14	-1.7034699864502235e-13
15848.93192461114	1.4227759849411909e-13	1.190322693061213e-13	8.170338269287302e-14	1.5262330246581157e-14	-8.425390300855126e-14	-2.1445416541708014e-13
14125.375446227556	1.7911688427329144e-13	1.498527486529976e-13	1.0285846470159612e-13	1.9214135390620085e-14	-1.0606937954030837e-13	-2.6998179850867475e-13
12589.254117941688	2.2549479729328916e-13	1.886534333067189e-13	1.2949113503122204e-13	2.418916330914462e-14	-1.3353343731629116e-13	-3.3988694686421347e-13
11220.18454301963	2.8388113055004414e-13	2.375006012221835e-13	1.630196805030177e-13	3.045235239006066e-14	-1.6810863755157176e-13	-4.2789231453434886e-13
10000.	3.573851694344523e-13	2.9899554245114013e-13	2.0522961866396966e-13	3.833724052892011e-14	-2.1163623549960373e-13	-5.386845080225653e-13
8912.509381337459	4.499212761833024e-13	3.7641309098883484e-13	2.5836878677280237e-13	4.8263730903823825e-14	-2.664342303429833e-13	-6.781636115055339e-13
7943.282347242822	5.664173881898306e-13	4.738760658736473e-13	3.252670915785206e-13	6.076049759862624e-14	-3.3542076285481054e-13	-8.537573435826187e-13
7079.457843841374	7.130778459652738e-13	5.965752236603888e-13	4.0948760949959583e-13	7.649353675117721e-14	-4.2226911971029164e-13	-1.074816213051042e-12
6309.573444801929	8.977165246315826e-13	7.510484128713092e-13	5.15519061172319e-13	9.630436101252135e-14	-5.316006216607888e-13	-1.3531087398598766e-12
5623.413251903491	1.1301876249894893e-12	9.45543411994614e-13	6.49029525917365e-13	1.2126948688850315e-13	-6.692160519910958e-13	-1.7034334979871363e-12
5011.872336272725	1.4229736838317026e-12	1.1905203919517236e-12	8.172315258192404e-13	1.5282100135634106e-13	-8.423413311950264e-13	-2.1443439552802925e-12
4466.835921509625	1.792073048365303e-12	1.499431692162406e-12	1.0294888526483565e-12	1.9304555953853219e-13	-1.059789589770711e-12	-2.6989137794543648e-12
3981.071705534969	2.2585046396394703e-12	1.8900909997737506e-12	1.2984680170188135e-12	2.4544829979804046e-13	-1.331777706456318e-12	-3.3953128019355453e-12
3548.133892335753	2.851045476218746e-12	2.387240182940183e-12	1.6424309757485923e-12	3.1675769461895166e-13	-1.6688522047971913e-12	-4.266688974625154e-12
3162.277660168379	3.611207315283267e-12	3.0273110454501772e-12	2.0896518075784045e-12	4.2072802622784707e-13	-2.0790067340572805e-12	-5.3494894592869455e-12
2818.3829312644493	4.601833784681731e-12	3.866751932737082e-12	2.6863088905767502e-12	5.852583318869007e-13	-2.5617212805812813e-12	-6.679015092206744e-12
2511.886431509582	5.920924603694417e-12	4.9955113805324166e-12	3.509421637581264e-12	8.643556977823042e-13	-3.0974569067520934e-12	-8.280822714030233e-12
2238.721138568342	7.722344724633464e-12	6.557318501584667e-12	4.68644235997669e-12	1.3565016324925178e-12	-3.6311249321221063e-12	-1.0156595865529603e-11
