# Data for gold - mf - polystyrene  phi = 0.10  D=10nm
#d (nm) Total(Drude)    Total(Plasma)	sum m>0 m=0(Drude)	m=0(Plasma)


2511.886431509582	3.8435337135114016e-12	-9.16813690310718e-12	8.835164352592458e-14	3.755182069985477e-12	-9.256488546633106e-12
2454.7089156850334	4.03775950456069e-12	-9.582538325827163e-12	1.0560115594992106e-13	3.932158348610769e-12	-9.688139481777085e-12
2398.832919019495	4.243271940741857e-12	-1.001401035471621e-11	1.257966784549729e-13	4.1174752622868835e-12	-1.0139807033171183e-11
2344.2288153199224	4.460892229349549e-12	-1.0463045071543257e-11	1.4936633631541332e-13	4.3115258930341355e-12	-1.061241140785867e-11
2290.867652767775	4.691510856907084e-12	-1.093012553624258e-11	1.7678900865049778e-13	4.514721848256587e-12	-1.1106914544893078e-11
2238.721138568342	4.936093048157691e-12	-1.1415723052637418e-11	2.08598914339195e-13	4.727494133818496e-12	-1.1624321966976612e-11
2187.7616239495565	5.195684551575192e-12	-1.192029422799841e-11	2.453904833105343e-13	4.9502940682646575e-12	-1.2165684711308945e-11
2137.9620895022326	5.471417766778807e-12	-1.2444277816173585e-11	2.8782352665187054e-13	5.183594240126936e-12	-1.2732101342825456e-11
2089.2961308540407	5.764518230942094e-12	-1.2988091332511034e-11	3.3662872059276884e-13	5.427889510349325e-12	-1.3324720053103803e-11
2041.7379446695315	6.076311483275493e-12	-1.3552127427024029e-11	3.9261342132273954e-13	5.683698061952753e-12	-1.3944740848346769e-11
1995.262314968883	6.408230328737634e-12	-1.4136750000384277e-11	4.566678295649427e-13	5.951562499172692e-12	-1.4593417829949218e-11
1949.8445997580454	6.7618225246187535e-12	-1.4742290045070715e-11	5.297715262275318e-13	6.232050998391222e-12	-1.5272061571298245e-11
1905.4607179632483	7.1387589161523105e-12	-1.5369041191709896e-11	6.130004028260538e-13	6.5257585133262575e-12	-1.598204159453595e-11
1862.0871366628694	7.540842050135643e-12	-1.6017254938073836e-11	7.075340131478184e-13	6.833308036987824e-12	-1.6724788951221657e-11
1819.7008586099826	7.970015298580781e-12	-1.668713553539439e-11	8.146633754245166e-13	7.155351923156265e-12	-1.7501798910818907e-11
1778.2794100389228	8.428372527449421e-12	-1.7378834503871517e-11	9.357992573608913e-13	7.492573270088532e-12	-1.831463376123241e-11
1737.8008287493763	8.918168349014716e-12	-1.8092444746061648e-11	1.0724809795416792e-12	7.845687369473038e-12	-1.9164925725603326e-11
1698.243652461746	9.441828999736436e-12	-1.8827994223696825e-11	1.2263857760801096e-12	8.215443223656325e-12	-2.0054379999776935e-11
1659.5869074375596	1.00019638892931e-11	-1.9585439160073e-11	1.3993387549102631e-12	8.602625134382836e-12	-2.0984777914983265e-11
1621.8100973589299	1.0601377870076022e-11	-2.0364656726728746e-11	1.5933235036834194e-12	9.008054366392603e-12	-2.1957980230412166e-11
1584.893192461114	1.1243084280417596e-11	-2.1165437169481132e-11	1.8104933909732246e-12	9.43259088944437e-12	-2.2975930560454357e-11
1548.8166189124827	1.1930318818907579e-11	-2.1987475325106657e-11	2.053183616484167e-12	9.877135202423413e-12	-2.4040658941590823e-11
1513.5612484362105	1.2666554311241722e-11	-2.2830361476172603e-11	2.3239240678286846e-12	1.0342630243413036e-11	-2.5154285544001288e-11
1479.1083881682102	1.3455516435411912e-11	-2.369357148749221e-11	2.6254530455979722e-12	1.0830063389813939e-11	-2.6319024533090183e-11
1445.439770745931	1.4301200475519011e-11	-2.4576456163519245e-11	2.9607319228434848e-12	1.1340468552675526e-11	-2.753718808636273e-11
1412.5375446227554	1.5207889179158132e-11	-2.5478229761671573e-11	3.332960809377299e-12	1.187492836978083e-11	-2.8811190571048873e-11
1380.3842646028866	1.6180171798009033e-11	-2.639795759226834e-11	3.745595295951641e-12	1.2434576502057395e-11	-3.014355288821998e-11
1348.9628825916561	1.7222964396427612e-11	-2.733454263089704e-11	4.202364358201349e-12	1.3020600038226261e-11	-3.1536906989098386e-11
1318.2567385564103	1.8341531517879987e-11	-2.8286711064402694e-11	4.7072895051007365e-12	1.3634242012779254e-11	-3.2994000569503424e-11
1288.249551693135	1.954150930468467e-11	-2.925299668640447e-11	5.264705262068873e-12	1.4276804042615797e-11	-3.451770194847334e-11
1258.9254117941687	2.082893017207561e-11	-3.0231724053115544e-11	5.8792810841236925e-12	1.4949649087951916e-11	-3.611100513723924e-11
1230.2687708123838	2.2210249143780642e-11	-3.1220990304382264e-11	6.5560448004440925e-12	1.565420434333655e-11	-3.7777035104826355e-11
1202.2644346174154	2.369237196242011e-11	-3.221864554923248e-11	7.300407697489689e-12	1.639196426493042e-11	-3.951905324672217e-11
1174.8975549395304	2.5282685094976252e-11	-3.322227170860558e-11	8.11819135453673e-12	1.7164493740439524e-11	-4.134046306314231e-11
1148.153621496884	2.698908776042272e-11	-3.4229159701556344e-11	9.015656351967144e-12	1.7973431408455573e-11	-4.324481605352349e-11
1122.0184543019652	2.8820026114264512e-11	-3.523628485394709e-11	9.999532980037327e-12	1.8820493134227186e-11	-4.523581783398442e-11
1096.4781961431852	3.0784529732512654e-11	-3.6240280401342556e-11	1.1077054083266502e-11	1.9707475649246148e-11	-4.731733448460906e-11
1071.519305237607	3.289225054622731e-11	-3.7237408949572604e-11	1.2255990183883362e-11	2.0636260362343952e-11	-4.949339913345596e-11
1047.1285480509007	3.515350438669178e-11	-3.822353174800217e-11	1.3544687036270819e-11	2.1608817350420958e-11	-5.176821878427299e-11
